Name (English),Region of Focus,Language,Entity owner (English),Parent entity (English),X (Twitter) handle,X (Twitter) URL,X (Twitter) Follower #,Facebook page,Facebook URL,Facebook Follower #,Instragram page,Instagram URL,Instagram Follower #,Threads account,Threads URL,Threads Follower #,YouTube account,YouTube URL,YouTube Subscriber #,TikTok account,TikTok URL,TikTok Subscriber #
Huang Xingyuan,Cyprus,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbassadorHuang,https://twitter.com/AmbassadorHuang,2534,,,,,,,,,,,,,,,
Lei Kezhong,Lesotho,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbassadorLei,https://twitter.com/AmbassadorLei,1470,,,,,,,,,,,,,,,
Chang Hua,Iran,Persian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbChangHua,https://twitter.com/AmbChangHua,26400,,,,,,,,,,,,,,,
Chen Bo,Serbia,Serbian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbChenBo,https://twitter.com/AmbChenBo,12900,,,,,,,,,,,,,,,
Chen Weiqing,Saudi Arabia,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbChenWeiqing,https://twitter.com/AmbChenWeiqing,83700,,,,,,,,,,,,,,,
Chinese Embassy in Burundi,Burundi,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbChineBurundi,https://twitter.com/AmbChineBurundi,4651,,,,,,,,,,ambassadedechineauburundi9155,https://www.youtube.com/@ambassadedechineauburundi9155,71,,,
Chinese Embassy in Cameroon,Cameroon,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbChineCmr,https://twitter.com/AmbChineCmr,3147,,,,,,,,,,,,,,,
Chinese Embassy in Dem. Rep. of Congo (Kinshasa),Dem. Rep. of Congo,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbCHINEenRDC,https://twitter.com/AmbCHINEenRDC,17400,profile.php?id=100091791662713,https://www.facebook.com/profile.php?id=100091791662713,132,,,,,,,ambassaderdcchine5932,https://www.youtube.com/@ambassaderdcchine5932,454,,,
Chinese Embassy in Chad,Chad,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ambchinetchad,https://twitter.com/ambchinetchad,5478,,,,,,,,,,,,,,,
Chinese Embassy in Italy,Italy,Italian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbCina,https://twitter.com/AmbCina,48800,chineseembassyitaly,https://www.facebook.com/chineseembassyitaly,17700,ambcina,https://www.instagram.com/ambcina,2175,,,,,,,ambcina,https://www.tiktok.com/@ambcina,7989.0
Cui Tiankai,USA,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbCuiTiankai,https://twitter.com/AmbCuiTiankai,137100,,,,,,,,,,,,,,,
Dong Xiaojun,Bulgaria,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbDongXiaojun,https://twitter.com/AmbDongXiaojun,8993,,,,,,,,,,,,,,,
Fang Qiu,Trinidad and Tobago,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbFangQiu,https://twitter.com/AmbFangQiu,1809,fang.qiu.9847,https://www.facebook.com/fang.qiu.9847/,4500,,,,,,,,,,,,
Jia Guide,Italy,Italian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbJiaGuide,https://twitter.com/AmbJiaGuide,6878,,,,,,,,,,,,,,,
Kong Xuanyou,Japan,Japanese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbKongXuanyou,https://twitter.com/AmbKongXuanyou,3599,,,,,,,,,,,,,,,
Liao Liqiang,Egypt,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbLiaoLiqiang,https://twitter.com/AmbLiaoLiqiang,16500,AmbLiaoliqiang,https://www.facebook.com/AmbLiaoliqiang,6200,,,,,,,,,,,,
Liu Guangyuan,Poland,Polish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbLiuGuangYuan,https://twitter.com/AmbLiuGuangYuan,5596,,,,,,,,,,,,,,,
Liu Quan,Suriname,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbLiuQuan,https://twitter.com/AmbLiuQuan,13700,,,,,,,,,,,,,,,
Liu Xiaoming,South Korea,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbLiuXiaoMing,https://twitter.com/AmbLiuXiaoMing,329400,,,,,,,,,,,,,,,
Nong Rong,Pakistan,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbNong,https://twitter.com/AmbNong,61200,,,,,,,,,,,,,,,
Qin Gang,USA,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbQinGang,https://twitter.com/AmbQinGang,288500,,,,,,,,,,,,,,,
Wu Jianghao,Japan,Japanese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbWuJianghao,https://twitter.com/AmbWuJianghao,4587,,,,,,,,,,,,,,,
Xie Feng,USA,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbXieFeng,https://twitter.com/AmbXieFeng,19400,,,,,,,,,,,,,,,
Zheng Zeguang,UK,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbZhengZeguang,https://twitter.com/AmbZhengZeguang,8481,,,,,,,,,,,,,,,
Zhou Jian,Qatar,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbZhouJian,https://twitter.com/AmbZhouJian,6682,,,,,,,,,,,,,,,
Media Challengers,UK,English,China Media Group (CMG),Central Publicity Department,aMEDIAchallenge,https://twitter.com/amediachallenge,66,themediachallengers,https://www.facebook.com/themediachallengers/,93000,,,,,,,,,,,,
Andy Boreham,Shanghai,English,Shanghai United Media Group (SUMG),Shanghai Municipal Committee,AndyBxxx,https://twitter.com/AndyBxxx,85400,reportsonchina,https://www.facebook.com/reportsonchina/,21000,,,,,,,ReportsOnChina,https://www.youtube.com/ReportsOnChina,57000,andysshanghailife,https://www.tiktok.com/@andysshanghailife,2733.0
Ge Anna,UK,English,China Media Group (CMG),Central Publicity Department,AnnaGE_,https://twitter.com/AnnaGE_,3298,,,,,,,,,,,,,,,
Wang Zeyu (Anosi Wang),UK,English,China Media Group (CMG),Central Publicity Department,anosiwang,https://twitter.com/anosiwang,208,,,,anosiwang,https://www.instagram.com/anosiwang/,247,,,,,,,,,
We Are China,UK,English,People's Daily Press,Central Committee of the Chinese Communist Party,are_china,https://twitter.com/are_china,104,WeAreChinaVideos,https://www.facebook.com/WeAreChinaVideos/,"25,000,000",,,,,,,,,,,,
CGTN Assignment Asia,UK,English,China Media Group (CMG),Central Publicity Department,assignasia,https://twitter.com/assignasia,740,cgtnassignmentasia,https://www.facebook.com/cgtnassignmentasia,102000,,,,,,,,,,,,
Ma Ye (Ayisha Elseenya / عائشة الصينية),MENA,Arabic,China Media Group (CMG),Central Publicity Department,ayishaelseenya,https://twitter.com/ayishaelseenya,95,AyishaElseenyOfficial,https://www.facebook.com/AyishaElseenyOfficial,2338731,ayisha_elseeny13,https://www.instagram.com/ayisha_elseeny13,41100,,,,AyishaElseenya,https://www.youtube.com/channel/UC-Miuj0gMmQS6t9oQ3iUsCw,"866,000",ayishaelseenya,https://www.tiktok.com/@ayishaelseenya,31200.0
Diba,China,Chinese,Diba,Diba,back_XiaoDiDi,https://twitter.com/back_XiaoDiDi,29300,China.Di8,https://www.facebook.com/China.Di8/,41000,,,,,,,,,,,,
Discover Jiangxi,Jiangxi,English,Jiangxi Provincial Department of Culture and Tourism,Jiangxi Provincial People's Government,BeautyJiangxi,https://twitter.com/BeautyJiangxi,88000,DiscoverJiangxi2018,https://www.facebook.com/DiscoverJiangxi2018,1200000,,,,,,,,,,,,
Beijing Channel,UK,English,Xinhua News Agency,State Council,BeijingChannel,https://twitter.com/Beijingchannel,1347,,,,,,,,,,,,,,,
Discover Beijing,UK,English,unknown,unknown,BeijingDiscover,https://twitter.com/BeijingDiscover,22900,DiscoverBeijing,https://www.facebook.com/DiscoverBeijing/,"4,000,000",idiscoverbeijing,https://www.instagram.com/idiscoverbeijing,7137,idiscoverbeijing,https://www.threads.net/@idiscoverbeijing,88.0,,,,discoverbeijing,https://www.tiktok.com/@discoverbeijing,9009.0
Beijing Review,Beijing,English,China International Communications Group (CICG),Central Publicity Department,BeijingReview,https://twitter.com/BeijingReview,94300,BJReview,https://www.facebook.com/BJReview,94300,beijingreview,https://www.instagram.com/beijingreview/,3087,,,,BeijingReview,https://www.youtube.com/c/BeijingReview,1790,,,
Belt and Road News Network,UK,English,People's Daily Press,Central Committee of the Chinese Communist Party,beltroadnews,https://twitter.com/beltroadnews,3062,TheBeltandRoadNewsNetwork,https://www.facebook.com/TheBeltandRoadNewsNetwork/,4900000,,,,,,,,,,,,
BJD Review,China,Chinese,Beijing Daily Newspaper Group ,Beijing Municipal Committee,bjd_review,https://twitter.com/bjd_review,868,,,,,,,,,,,,,,,
Zheng Chenlei (Blair Zheng),UK,English,China Media Group (CMG),Central Publicity Department,BlairZheng1,https://twitter.com/BlairZheng1,7,,,,,,,,,,,,,,,
Tang Bo,UK,English,China Media Group (CMG),Central Publicity Department,Bossebosse84,https://twitter.com/Bossebosse84,215,,,,,,,,,,,,,,,
Wang Cong,UK,English,People's Daily Press,Central Committee of the Chinese Communist Party,bycongwang,https://twitter.com/bycongwang,586,,,,,,,,,,,,,,,
Cao Li,UK,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Cao_Li_CHN,https://twitter.com/Cao_Li_CHN,16700,,,,,,,,,,,,,,,
Cao Yi,MENA,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CaoYi_MFA,https://twitter.com/CaoYi_MFA,132900,,,,,,,,,,,,,,,
Chinese Embassy in Pakistan,Pakistan,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CathayPak,https://twitter.com/CathayPak,161000,profile.php?id=100071253341591,https://www.facebook.com/profile.php?id=100071253341591,6800,,,,,,,,,,,,
Chinese Consulate General in Belfast,UK,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CCGBelfast,https://twitter.com/CCGBelfast,7342,,,,ccginbelfast,https://www.instagram.com/ccginbelfast/,50,,,,,,,ccgbelfast,https://www.tiktok.com/@ccgbelfast,16.0
Chinese Consulate General in Jeddah,Saudi Arabia,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CCGJeddah,https://twitter.com/CCGJeddah,3268,,,,,,,,,,,,,,,
CCTV+,China,Chinese,China Media Group (CMG),Central Publicity Department,CCTV_Plus,https://twitter.com/CCTV_Plus,35300,NewsContent.CCTVPLUS/,https://www.facebook.com/NewsContent.CCTVPLUS/,918000,cctv_video_news_agency,https://www.instagram.com/cctv_video_news_agency/,2190,,,,CCTVVideoNewsAgency,https://www.youtube.com/@CCTVVideoNewsAgency,"518,000",cctv_plus,https://www.tiktok.com/@cctv_plus,104.0
CCTV News,China,Chinese,China Media Group (CMG),Central Publicity Department,cctvxinwen,https://twitter.com/cctvxinwen,1340,cctvxinwen,https://www.facebook.com/cctvxinwen/,2400,,,,,,,,,,MS4wLjABAAAASonqW9AAJrQJEqO2X5AW7RPRWe-Xofil3_ismHmHIg-_IxqJi5wTpc29D4AFKVod,https://www.tiktok.com/@MS4wLjABAAAASonqW9AAJrQJEqO2X5AW7RPRWe-Xofil3_ismHmHIg-_IxqJi5wTpc29D4AFKVod,663.0
Visual China,UK,English,China Daily Press,Central Publicity Department,CD_visual,https://twitter.com/CD_visual,998,,,,,,,,,,,,,,,
China Daily Africa,African Union,English,China Daily Press,Central Publicity Department,CDAfricaNews,https://twitter.com/CDAfricaNews,3385,,,,,,,,,,,,,,,
China Watch,UK,English,China Daily Press,Central Publicity Department,CDchinawatch,https://twitter.com/CDchinawatch,563,,,,,,,,,,,,,,,
China Daily Hong Kong,Hong Kong,English,China Daily Press,Central Publicity Department,CDHKedition,https://twitter.com/CDHKedition,3717,chinadailyhkedition,https://www.facebook.com/chinadailyhkedition/,1700000,,,,,,,,,,,,
CD Opinion,UK,English,China Daily Press,Central Publicity Department,CdOpinion,https://twitter.com/CdOpinion,707,,,,,,,,,,,,,,,
China Daily Sci-tech,UK,English,China Daily Press,Central Publicity Department,CDscitech,https://twitter.com/CDscitech,164,ChinaDailySciTech,https://www.facebook.com/ChinaDailySciTech/,8700000,,,,,,,,,,,,
Cen Ziyuan (Jasmine Cen),UK,English,China Media Group (CMG),Central Publicity Department,CenJasmine,https://twitter.com/CenJasmine,262,jasminecenz,https://www.facebook.com/jasminecenz,148,,,,,,,,,,,,
Chinese Consulate General in Zurich,Switzerland,German,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CGChinaInZurich,https://twitter.com/CGChinaInZurich,8972,,,,,,,,,,,,,chinakonsulzurich,https://www.tiktok.com/@chinakonsulzurich,40900.0
Huang Ping,USA,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CGHuangPingNY,https://twitter.com/CGHuangPingNY,7556,,,,,,,,,,,,,,,
Zhang Meifang,UK,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CGMeifangZhang,https://twitter.com/CGMeifangZhang,160000,,,,,,,,,,,,,cgmeifangzhang,https://www.tiktok.com/@cgmeifangzhang,1071.0
China Consulate in Dubai,UAE,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CGPRCinDubai,https://twitter.com/CGPRCinDubai,3993,,,,,,,,,,,,,,,
CGTN Culture,UK,English,China Media Group (CMG),Central Publicity Department,CGTN_Culture,https://twitter.com/CGTN_Culture,1537,,,,,,,cgtnculture,https://www.threads.net/@cgtnculture,7.0,,,,,,
CGTN Dialogue,UK,English,China Media Group (CMG),Central Publicity Department,CGTN_Dialogue,https://twitter.com/CGTN_Dialogue,1011,,,,,,,,,,,,,,,
CGTN Inheritors,UK,English,China Media Group (CMG),Central Publicity Department,cgtn_inheritors,https://twitter.com/cgtn_inheritors,0,cgtn.inheritors,https://www.facebook.com/cgtn.inheritors/,204000,cgtn_inheritors,https://www.instagram.com/cgtn_inheritors/,586,,,,,,,,,
CGTN Style,UK,English,China Media Group (CMG),Central Publicity Department,CGTN_Style,https://twitter.com/CGTN_Style,56,CGTN-Style-117178546331993,https://www.facebook.com/CGTN-Style-117178546331993/,1165,,,,,,,,,,,,
CGTN Africa,African Union,English,China Media Group (CMG),Central Publicity Department,cgtnafrica,https://twitter.com/cgtnafrica,149100,cgtnafrica,https://www.facebook.com/cgtnafrica,4587965,cgtn_africa,https://www.instagram.com/cgtn_africa/,41500,,,,CGTNAfrica,https://www.youtube.com/@cgtnafrica,"824,000",,,
CGTN America,USA,English,China Media Group (CMG),Central Publicity Department,cgtnamerica,https://twitter.com/cgtnamerica,288200,cgtnamerica,https://www.facebook.com/cgtnamerica,1550082,cgtnamerica,https://www.instagram.com/cgtnamerica/,298000,cgtnamerica,https://www.threads.net/@cgtnamerica,12300.0,cgtnamerica,https://www.youtube.com/@cgtnamerica,"685,000",,,
CGTN Arabic,MENA,Arabic,China Media Group (CMG),Central Publicity Department,cgtnarabic,https://twitter.com/cgtnarabic,668300,,,,cgtnarabic,https://www.instagram.com/cgtnarabic,178000,,,,CGTNArabic,https://www.youtube.com/@CGTNArabic,"491,000",cgtnarabic,https://www.tiktok.com/@cgtnarabic,66.0
CGTN Business,UK,English,China Media Group (CMG),Central Publicity Department,CGTNBusiness,https://twitter.com/CGTNBusiness,1162,CGTNBusiness,https://www.facebook.com/CGTNBusiness,102253,,,,,,,,,,,,
CGTN DC Producers,USA,English,China Media Group (CMG),Central Publicity Department,CGTNDCproducers,https://twitter.com/CGTNDCproducers,455,CGTNDialogueideasmatter,https://www.facebook.com/CGTNDialogueideasmatter,131000,,,,,,,,,,,,
CGTN Europe,Germany,English,China Media Group (CMG),Central Publicity Department,CGTNEurope,https://twitter.com/CGTNEurope,18200,cgtneuropeofficial,https://www.facebook.com/cgtneuropeofficial,2100000,cgtneurope,https://www.instagram.com/cgtneurope/,30000,,,,CGTNEurope,https://www.youtube.com/c/CGTNEurope,110000,cgtneurope,https://www.tiktok.com/@cgtneurope,225800.0
CGTN Europe Breaking News,France,English,China Media Group (CMG),Central Publicity Department,CGTNEuropebreak,https://twitter.com/CGTNEuropebreak,1741,,,,,,,,,,,,,,,
CGTN Food,UK,English,China Media Group (CMG),Central Publicity Department,CGTNFood,https://twitter.com/CGTNFood,98,CGTN-Food-100820617981722,https://www.facebook.com/CGTN-Food-100820617981722/,520,,,,,,,,,,,,
CGTN Français,la Francophonie,French,China Media Group (CMG),Central Publicity Department,CGTNFrancais,https://twitter.com/CGTNFrancais,977800,CGTNFrancais,https://www.facebook.com/CGTNFrancais,"20,423,675",cgtnfrancais,https://www.instagram.com/cgtnfrancais/,248000,,,,CGTNFrancais,https://www.youtube.com/@CGTNFrancais,404000,MS4wLjABAAAAjFS_QqZGXMn9w7Ey9yZdsc-vjBGL8H8rxtUo37BCPiomar-19ilC2SOU6B2SJ2Fb,https://www.tiktok.com/@MS4wLjABAAAAjFS_QqZGXMn9w7Ey9yZdsc-vjBGL8H8rxtUo37BCPiomar-19ilC2SOU6B2SJ2Fb,168.0
CGTN Global Business,UK,English,China Media Group (CMG),Central Publicity Department,CGTNGlobalBiz,https://twitter.com/CGTNGlobalBiz,12500,CGTNGlobalBusiness,https://www.facebook.com/CGTNGlobalBusiness/,1600000,,,,,,,BizAsiaAmerica,https://www.youtube.com/c/BizAsiaAmerica,7980,,,
CGTN Graphics,UK,English,China Media Group (CMG),Central Publicity Department,CGTNGraphics,https://twitter.com/CGTNGraphics,914,CGTNGraphics,https://www.facebook.com/CGTNGraphics,545,,,,,,,,,,,,
CGTN Movies,UK,English,China Media Group (CMG),Central Publicity Department,CGTNMovies,https://twitter.com/CGTNMovies,79,,,,,,,,,,,,,,,
CGTN,UK,English,China Media Group (CMG),Central Publicity Department,CGTNOfficial,https://twitter.com/CGTNOfficial,"13,000,000",ChinaGlobalTVNetwork,https://www.facebook.com/ChinaGlobalTVNetwork,"116,450,496",cgtn,https://www.instagram.com/cgtn/,"2,300,000",cgtn,https://www.threads.net/@cgtn,69100.0,CGTN,https://www.youtube.com/@cgtn,"3,050,000",,,
CGTN Radio,UK,English,China Media Group (CMG),Central Publicity Department,cgtnradio,https://twitter.com/CGTNRadio,725200,,,,,,,,,,,,,,,
CGTN Russian,Russia,Russian,China Media Group (CMG),Central Publicity Department,cgtnrussian,https://twitter.com/cgtnrussian,87500,,,,cgtn_russian,https://www.instagram.com/cgtn_russian/,770,,,,cgtnrussian,https://www.youtube.com/@cgtnrussian,263000,cgtn_russian,https://www.tiktok.com/@cgtn_russian,101.0
CGTN Sports,UK,English,China Media Group (CMG),Central Publicity Department,CGTNSports,https://twitter.com/CGTNSports,1046,,,,,,,,,,,,,,,
CGTN Sports Scene,UK,English,China Media Group (CMG),Central Publicity Department,CGTNSportsScene,https://twitter.com/CGTNSportsScene,7582,CGTNSportsScene,https://www.facebook.com/CGTNSportsScene/,"670,000",cgtn_sports_scene,https://www.instagram.com/cgtn_sports_scene/,2617,,,,cgtnsportsscene,https://www.youtube.com/@cgtnsportsscene,158000,,,
CGTN Stories,UK,English,China Media Group (CMG),Central Publicity Department,CGTNStories,https://twitter.com/CGTNStories,1669,CGTNStories,https://www.facebook.com/CGTNStories,95000,,,,,,,,,,,,
CGTN Tech,UK,English,China Media Group (CMG),Central Publicity Department,CGTNTech,https://twitter.com/CGTNTech,1206,CGTN-Tech-104251674369966,https://www.facebook.com/CGTN-Tech-104251674369966/,600,,,,,,,,,,,,
CGTN Travel,UK,English,China Media Group (CMG),Central Publicity Department,CGTNTravel,https://twitter.com/CGTNTravel,494,CGTN-Travel-102031311241723,https://www.facebook.com/profile.php?id=100063864672999,"96,000",,,,,,,,,,,,
CGTN Travelogue,UK,English,China Media Group (CMG),Central Publicity Department,cgtntravelogue,https://twitter.com/cgtntravelogue,973,cgtntravelogue,https://www.facebook.com/cgtntravelogue/,"517,000",cgtntravelogue,https://www.instagram.com/cgtntravelogue/,1808,,,,,,,,,
CGTN United Nations,UK,English,China Media Group (CMG),Central Publicity Department,cgtnun,https://twitter.com/cgtnun,33,,,,,,,,,,,,,,,
Zhang Ping,USA,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CGZhangPingLA,https://twitter.com/CGZhangPingLA,7021,,,,,,,,,,,,,,,
Liu Chen,Kenya,English,China Media Group (CMG),Central Publicity Department,Chen1126,https://twitter.com/Chen1126,2052,profile.php?id=100057358513319,https://www.facebook.com/profile.php?id=100057358513319,88000,liu.chen0_0,https://www.instagram.com/liu.chen0_0/,1919,,,,,,,,,
Chen Huixin,Finland,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chenhuixin,https://twitter.com/chenhuixin,736,,,,,,,,,,,,,,,
Chen Juan,UK,English,Shanghai Media Group (SMG),Shanghai Municipal Committee,Chenjuan,https://twitter.com/Chenjuan,592,,,,,,,,,,,,,,,
Chen Mingjian,Tanzania,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChenMingjian_CN,https://twitter.com/ChenMingjian_CN,10500,,,,,,,,,,,,,,,
Chen Ping,Spain,Spanish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChenPingMFA,https://twitter.com/ChenPingMFA,8391,,,,,,,,,,,,,,,
Chen Weihua,UK,English,China Daily Press,Central Publicity Department,chenweihua,https://twitter.com/chenweihua,195700,,,,,,,,,,,,,,,
Chen Wendi,Somalia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CHENWendi11,https://twitter.com/CHENWendi11,241,,,,,,,,,,,,,,,
China Focus,UK,English,China International Communications Group (CICG),Central Publicity Department,China__Focus,https://twitter.com/China__Focus,61100,ChinaFocus2015,https://www.facebook.com/ChinaFocus2015/,"3,200,000",,,,,,,,,,,,
Chinese Embassy in India,India,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,China_Amb_India,https://twitter.com/China_Amb_India,96200,,,,,,,,,,,,,,,
Wang Lixin,Maldives,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,China_Amb_Mdv,https://twitter.com/China_Amb_Mdv,20100,,,,,,,,,,,,,,,
Guo Shaochun,Zimbabwe,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,China_Amb_Zim,https://twitter.com/China_Amb_Zim,16400,,,,,,,,,,,,,,,
Lin Jing,UK,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CHINA_DIPLOMAT,https://twitter.com/CHINA_DIPLOMAT,11100,,,,,,,,,,,,,,,
Chinese Embassy in Nigeria,Nigeria,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,china_emb_ng,https://twitter.com/china_emb_ng,4238,,,,,,,,,,,,,,,
Chinese Embassy in Colombia,Colombia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,china_embajada,https://twitter.com/china_embajada,8929,,,,,,,,,,,,,,,
Chinese Consulate General in Lyon,France,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,China_Lyon,https://twitter.com/China_Lyon,2853,,,,,,,,,,,,,,,
Chinese Permanent Mission to the OPCW,Netherlands,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,China_OPCW,https://twitter.com/China_OPCW,2751,,,,,,,,,,,,,,,
Chinese Embassy in Ukraine,Ukraine,Ukrainian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,China_Ukraine_,https://twitter.com/China_Ukraine_,882,chinaembua,https://www.facebook.com/chinaembua,2500,chinaemb_ua,https://www.instagram.com/chinaemb_ua/,1868,,,,,,,,,
"Xiamen, China",Fujian,English,Xiamen Culture and Tourism Bureau,Xiamen Municipal People's Government,china_xiamen,https://twitter.com/china_xiamen,12900,xiamengov,https://www.facebook.com/xiamengov/,396000,,,,,,,,,,visitxiamen,https://www.tiktok.com/@visitxiamen,9.0
CGTN China Takeaway,Canada,English,China Media Group (CMG),Central Publicity Department,China24Official,https://twitter.com/China24Official,2931,China24Official,https://www.facebook.com/China24Official,"1,000,000",,,,,,,,,,,,
Hou Yanqi,ASEAN,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,China2ASEAN,https://twitter.com/China2ASEAN,107600,,,,,,,,,,,,,,,
Cao Zhongming,Belgium,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaAmbBelgium,https://twitter.com/ChinaAmbBelgium,9679,,,,,,,,,,,,,,,
