username,entityOwner,parentEntity,focusRegion,language,username,bio,joined,followers
ChinaEmbinMR,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Mauritania,Arabic,ChinaEmbinMR,"中国驻毛里塔尼亚使馆
السفارة الصينية لدى موريتانيا
Ambassade de Chine en Mauritanie",Joined September 2019,3033
ChinaEmbIreland,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Ireland,English,ChinaEmbIreland,Official twitter account of the Embassy of the People's Republic of China in Ireland.,Joined February 2020,5150
ChinaEmbKabul,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Afghanistan,English,ChinaEmbKabul,16th Chinese Ambassador to Afghanistan,Joined January 2017,27400
ChinaEmbKazakh,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Kazakhstan,Russian,ChinaEmbKazakh,Посольство Китайской Народной Республики в Республике Казахстан,Joined September 2019,3126
ChinaEmbKSA,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Saudi Arabia,Arabic,ChinaEmbKSA,"Official account of the Embassy of China in KSA
الحساب الرسمي للسفارة الصينية في المملكة العربية السعودية
@AmbChenWeiqing",Joined July 2019,17000
ChinaEmbKuwait,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Kuwait,Arabic,ChinaEmbKuwait,Official account of the Embassy of the People's Republic of China in the State of Kuwait الحساب الرسمي لسفارة جمهورية الصين الشعبية في دولة الكويت,Joined April 2020,3651
ChinaEmbLesotho,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Lesotho,English,ChinaEmbLesotho,Official Site of Chinese Embassy in Lesotho,Joined February 2020,1240
ChinaEmbMalta,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Malta,English,ChinaEmbMalta,Embassy of the People's Republic of China in the Republic of Malta,Joined April 2020,2356
Chinaembmanila,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Philippines,English,Chinaembmanila,The official twitter account of the Embassy of the People's Republic of China in the Republic of the Philippines,Joined February 2017,14600
ChinaEmbNamibia,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Namibia,English,ChinaEmbNamibia,Embassy of the People's Republic of China in the Republic of Namibia,Joined November 2021,1890
ChinaEmbNL,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Netherlands,English,ChinaEmbNL,official twitter account of Embassy of China in the Kingdom of Netherlands,Joined June 2020,5805
ChinaEmbOttawa,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Canada,English,ChinaEmbOttawa,The official twitter account of the Embassy of the People's Republic of China in Canada,Joined June 2014,15500
ChinaEmbPeru,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Peru,Spanish,ChinaEmbPeru,Embajada de la República Popular China en el Perú 欢迎关注中国驻秘鲁使馆官方推特账号,Joined February 2020,11900
ChinaEmbPoland,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Poland,Polish,ChinaEmbPoland,The official account of the Chinese Embassy in Poland,Joined July 2019,6868
ChinaEmbPt,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Portugal,Portuguese,ChinaEmbPt,Conta oficial da Embaixada da República Popular da China na República Portuguesa,Joined November 2021,2896
ChinaEmbSL,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Sri Lanka,English,ChinaEmbSL,"中国驻斯里兰卡大使馆
Embassy of the People's Republic of China in Sri Lanka
ශ්‍රී ලංකාවේ මහජන චීන සමූහාණ්ඩුවේ තානාපති කාර්යාලය
இலங்கையில் சீன மக்கள் குடியரசின் தூதரகம்",Joined March 2020,25600
ChinaEmbSVK,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Slovakia,English,ChinaEmbSVK,Embassy of the People's Republic of China in the Slovak Republic,Joined February 2020,5439
ChinaEmb_Juba,Ministry of Foreign Affairs,Ministry of Foreign Affairs,South Sudan,English,ChinaEmb_Juba,"The official twitter account of the Embassy of the People's Republic of China in the Republic of South Sudan.
中国驻南苏丹使馆官方推特账号",Joined September 2021,1276
ChinaEmSlovenia,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Slovenia,English,ChinaEmSlovenia,The official twitter account of the Embassy of the People's Republic of China in the Republic of Slovenia.,Joined December 2017,5058
ChinaEUMission,Ministry of Foreign Affairs,Ministry of Foreign Affairs,EU,English,ChinaEUMission,Mission of the People's Republic of China to the EU . Tweeting about #ChinaEU relations.,Joined September 2013,25900
chinafrance,China International Communications Group (CICG),Central Publicity Department,la Francophonie,French,chinafrance,"Site internet diffusant les dernières informations de la Chine sur la société, la culture, l'économie, le tourisme, etc.| http://facebook.com/ChinaorgcnFren…",Joined December 2010,23600
ChinaInDenmark,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Denmark,English,ChinaInDenmark,Embassy of the People's Republic of China in the Kingdom of Denmark. Tweeting about #ChinaDenmark relations.,Joined May 2017,2128
ChinainLebanon,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Lebanon,Arabic,ChinainLebanon,"Chinese Ambassador to Lebanon 
RT/link/like/follow does not mean endorsement",Joined February 2020,12700
ChinainVan,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Canada,English,ChinainVan,The official account of the Consulate General of the People's Republic of China in Vancouver,Joined February 2021,2168
ChinaIraq,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Iraq,Arabic,ChinaIraq,Official twitter account of the embassy of the People's Republic of China in Baghdad,Joined January 2020,13200
Chinamission2un,Ministry of Foreign Affairs,Ministry of Foreign Affairs,UN,English,Chinamission2un,"The official twitter account of the Permanent Mission of the People's Republic of China to the United Nations. See also 
@ChinaAmbUN",Joined April 2015,141500
ChinaMissionGva,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Switzerland,English,ChinaMissionGva,This is the Permanent Mission of the People's Republic of China to the United Nations Office at Geneva and other International Organizations in Switzerland.,Joined May 2015,5316
chinaorgcn,China International Communications Group (CICG),Central Publicity Department,Anglosphere,English,chinaorgcn,China's national online news service,Joined May 2010,"1,000,000"
chinascio,State Council Information Office (SCIO),State Council,Anglosphere,English,chinascio,"Welcome to 
@ChinaSCIO
, the official Twitter page for the State Council Information Office of China （中华人民共和国国务院新闻办公室）. For more, please visit http://english.scio.gov.cn",Joined August 2015,55200
ChinaSpox_India,Ministry of Foreign Affairs,Ministry of Foreign Affairs,India,English,ChinaSpox_India,"Spokesperson of Chinese Embassy in India, sharing facts",Joined March 2020,12900
chinatoday_com,China International Communications Group (CICG),Central Publicity Department,Anglosphere,English,chinatoday_com,An unofficial China information base.,Joined May 2010,471
ChinaYouthOL,China Youth Daily Press,Central Committee of the Communist Youth League,China,Chinese,ChinaYouthOL,《中国青年报》是中国共产主义青年团中央机关报，毛泽东同志为中国青年报题写了报名。,Joined September 2019,147
China_Amb_India,Ministry of Foreign Affairs,Ministry of Foreign Affairs,India,English,China_Amb_India,Embassy of The People's Republic of China in India,Joined December 2017,96200
China_Amb_Mdv,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Maldives,English,China_Amb_Mdv,Ambassador of the People's Republic of China to the Republic of Maldives,Joined June 2019,20100
China_Amb_Zim,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Zimbabwe,English,China_Amb_Zim,Chinese Ambassador to Zimbabwe,Joined April 2019,16400
CHINA_DIPLOMAT,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Anglosphere,English,CHINA_DIPLOMAT,外交官,Joined March 2020,11100
china_embajada,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Colombia,English,china_embajada,"¡Bienvenidos a la cuenta oficial de la Embajada de la República Popular China en Colombia!
Embajador 
@zhu_jingyang",Joined February 2020,8929
china_emb_ng,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Nigeria,English,china_emb_ng,Official handle of the Embassy of the People's Republic of China in the Federal Republic of Nigeria.,Joined September 2019,4238
China_Lyon,Ministry of Foreign Affairs,Ministry of Foreign Affairs,France,French,China_Lyon,"Compte officiel du Consulat Général de la République populaire de Chine à Lyon 
中华人民共和国驻里昂总领事馆",Joined March 2020,2853
China_OPCW,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Netherlands,English,China_OPCW,中华人民共和国常驻禁止化学武器组织代表团,Joined June 2020,2751
china_xiamen,Xiamen Culture and Tourism Bureau,Xiamen Municipal People's Government,Fujian,English,china_xiamen,"Xiamen,China's special economic zone,is a window of China's opening to the world and a symbol of innovation and development. Welcome to Xiamen!",Joined July 2019,12900
China__Focus,China International Communications Group (CICG),Central Publicity Department,Anglosphere,English,China__Focus,"Your trusted source for China's most important developments - Follow 
@China__Focus
 for Expert Analysis & Unique Insight #China",Joined October 2017,61100
ChineAmbassade,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Senegal,French,ChineAmbassade,Compte officiel de l'Ambassade de la République populaire de Chine en République du Sénégal,Joined October 2020,1481
ChineAmbDjibout,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Djibouti,French,ChineAmbDjibout,Compte Twitter officiel de l'Ambassade de Chine à Djibouti,Joined April 2020,3205
ChineAmbMaroc,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Morocco,French,ChineAmbMaroc,"Compte officiel de l'Ambassade de la République populaire de Chine au Royaume du Maroc.
Site: http://bit.ly/3qShTou
Facebook: http://bit.ly/3Cu05Cq",Joined September 2021,3360
ChineseAmb_GM,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Gambia,English,ChineseAmb_GM,Chinese Ambassador to The Gambia,Joined March 2022,1617
ChineseCGMumbai,Ministry of Foreign Affairs,Ministry of Foreign Affairs,India,English,ChineseCGMumbai,Official account of the Consul General of the People’s Republic of China in Mumbai,Joined September 2021,1873
ChineseCon_Mel,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Australia,English,ChineseCon_Mel,Consulate-General of the People's Republic of China in Melbourne,Joined November 2020,2881
chineseembassy1,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Thailand,Thai,chineseembassy1,เอกอัครราชทูตสาธารณรัฐประชาชนจีนประจำประเทศไทย,Joined May 2019,977
ChineseembassyJ,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Jordan,Arabic,ChineseembassyJ,ChineseEmbassy in Jordan,Joined September 2019,5365
ChineseEmbinHU,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Hungary,Hungarian,ChineseEmbinHU,"A Kínai Népköztársaság Magyarországi Nagykövetsége
Embassy of the People's Republic of China in Hungary
Our Facebook: http://facebook.com/ChinaEmbHungar…",Joined October 2019,6367
ChineseEmbinMNE,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Montenegro,Serbian,ChineseEmbinMNE,Official twitter account of the Embassy of the People's Republic of China in Montenegro,Joined November 2020,1514
ChineseEmbinRus,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Russia,Russian,ChineseEmbinRus,Приветствую всех посетителей официального Twitter Посольства КНР в РФ! Благодарю вас за внимание к Китаю и китайско-российским отношениям!,Joined February 2020,27200
ChineseEmbinUK,Ministry of Foreign Affairs,Ministry of Foreign Affairs,UK,English,ChineseEmbinUK,Chinese Embassy in UK.,Joined November 2019,43700
ChineseEmbinUS,Ministry of Foreign Affairs,Ministry of Foreign Affairs,USA,English,ChineseEmbinUS,Official twitter account of the Embassy of the People's Republic of China in the United States of America,Joined June 2019,118100
ChineseEmbKenya,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Kenya,English,ChineseEmbKenya,Official account of the Embassy of China in Kenya,Joined March 2019,15800
ChineseEmbtoYEM,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Yemen,Arabic,ChineseEmbtoYEM,Official twitter account of the Embassy of the People's Republic of China to the Republic of Yemen,Joined September 2019,62700
ChineseEmbTZ,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Tanzania,Swahili,ChineseEmbTZ,The official Twitter account of the Embassy of the People's Republic of China in the United Republic of Tanzania,Joined December 2019,15800
ChineseEmb_FJ,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Fiji,English,ChineseEmb_FJ,Welcome to the official Twitter account of the Embassy of the People's Republic of China in Fiji. Hotline: 7137727,Joined January 2021,3216
ChineseEmb_PNG,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Papua New Guinea,English,ChineseEmb_PNG,Official page of the Embassy of the People's Republic of China in Papua New Guinea,Joined February 2020,6257
ChineseEstonia,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Estonia,Estonian,ChineseEstonia,Chinese Embassy in Tallinn,Joined August 2021,1409
ChineseLiberia,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Liberia,English,ChineseLiberia,The Embassy of the People's Republic of China in Liberia.,Joined December 2019,6373
ChineseSomalia,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Somalia,English,ChineseSomalia,The Embassy of the People's Republic of China in the Federal Republic of Somalia |Safaaradda Jamhuuriyadda Shacbiga Shiinaha ee Jamhuuriyadda Federaalka Somalia,Joined June 2019,12200
ChineseZimbabwe,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Zimbabwe,English,ChineseZimbabwe,Chinese Embassy in Zimbabwe,Joined September 2018,17200
Chine_au_Mali,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Mali,French,Chine_au_Mali,Ambassade de Chine au Mali,Joined August 2018,4741
chine_guinee,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Guinea,French,chine_guinee,中华人民共和国驻几内亚共和国大使馆 Ambassade de la République populaire de Chine en République de Guinée,Joined September 2019,5545
chloezhou21,China Media Group (CMG),Central Publicity Department,la Francophonie,French,chloezhou21,"La mode et l’art de vivre. Instagram : 
@chloezhou21",Joined March 2020,897
ChnConsulateFuk,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Japan,Japanese,ChnConsulateFuk,中華人民共和国駐福岡総領事館の公式Twitterです。中国と日本九州・沖縄・山口地域の物語を皆様にご紹介させていただきます。よろしくお願いします。総領事館ホームページは以下のURLからご覧いただけます。http://fukuoka.china-consulate.org,Joined April 2020,2959
ChnConsulateJhb,Ministry of Foreign Affairs,Ministry of Foreign Affairs,South Africa,English,ChnConsulateJhb,Official twitter account of the Consulate-General of P.R.China in Johannesburg,Joined October 2019,1324
ChnConsulateNag,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Japan,Japanese,ChnConsulateNag,中華人民共和国駐長崎総領事館の公式Twitterです。中日関係、地方交流、また中国経済・文化・社会及び総領事館行事などを皆様にご紹介させていただきます。総領事館HPはこちらへhttp://nagasaki.china-consulate.org/jpn/,Joined February 2021,992
ChnConsulateNgo,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Japan,Japanese,ChnConsulateNgo,中華人民共和国駐名古屋総領事館公式アカウントです。総領事館ホームページは以下URLからご覧いただけます。http://nagoya.china-consulate.org/chn/,Joined February 2020,3339
ChnConsulateNgt,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Japan,Japanese,ChnConsulateNgt,今日から新しい旅が始まりました。(。・ω・｡)。中日地方間の相互理解と友好交流を促進するため頑張っていきたいと思います。よろしくお願いします。,Joined March 2020,3130
ChnConsul_osaka,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Japan,Japanese,ChnConsul_osaka,中国駐大阪総領事館の公式Twitterです！中国社会や中日関係、または在西日本の出来事などを皆様にご紹介させていただきます。フォローしてね！这里是中国驻大阪总领馆官方账号。,Joined September 2019,21400
ChnEmbassy_jp,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Japan,Japanese,ChnEmbassy_jp,中華人民共和国駐日本国大使館の公式Twitterです。 中日関係、国民交流、また中国経済・文化・社会及び大使館行事などを皆様にご紹介させていただきます。大使館HPはこちらへhttp://china-embassy.or.jp/jpn/,Joined April 2014,102400
CHNembinSudan,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Sudan,Arabic,CHNembinSudan,中国驻苏丹大使馆السفارة الصينية في السودان,Joined March 2020,6098
ChnMission,Ministry of Foreign Affairs,Ministry of Foreign Affairs,UN,English,ChnMission,"Spokesperson, Permanent Mission of China to the United Nations Office at Geneva and Other International Organizations in Switzerland",Joined January 2020,1755
CHN_EGY,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Egypt,Arabic,CHN_EGY,"Official Account of the Spokesperson of the Chinese Embassy in Egypt
Ambassador Account: 
@AmbLiaoLiqiang
Facebook: 
@ChineseEmbinEgypt
Wechat: Chineseembassy_eg",Joined June 2020,3092
cidcaofficial,China International Development Cooperation Agency (CIDCA),State Council,Anglosphere,English,cidcaofficial,"We are the China International Development Cooperation Agency, with a primary mission of providing Chinese foreign assistance to developing countries.",Joined March 2020,37900
cinitalia,China Media Group (CMG),Central Publicity Department,Italy,Italian,cinitalia,App ufficiale e bilingue di China Media Group in collaborazione con ambasciate e consolati Cina-Italia,Joined September 2016,2228
cjxwh_hbtv,Hubei Radio & Television Station (HBTV),Hubei Provincial People's Government,Hubei,Chinese,cjxwh_hbtv,"Open Hubei, Experience China",Joined July 2021,1153
closertochina,China Media Group (CMG),Central Publicity Department,Anglosphere,English,closertochina,"""Closer to China"" brings the true, complex story of China to the world through candid discussions with China’s thought leaders and decision makers.",Joined December 2015,8795
CNContentCenter,"Shanghai Guanchazhe Information Technology Co.,Ltd",Shanghai Academy of Social Sciences (SASS),China,Chinese,CNContentCenter,"Official Twitter Account of China Content Center 
For more latest Chinese Tech News&Trending Stories, please subscribe: https://chinaacademy.substack.com",Joined November 2017,43200
CNS1952,China News Service (CNS),United Front Work Department,China,Chinese,CNS1952,"China News Service, 中國新聞社，簡稱“中新社”，是中國以對外報導為主要新聞業務的國家通訊社，是以台港澳同胞、海外華僑華人和與之有聯繫的外國人為主要服務對象的國際性通訊社。",Joined July 2013,494700
CoChwila,China Media Group (CMG),Central Publicity Department,Poland,Polish,CoChwila,"To co ważne i ciekawe, dzieje się w Chinach, ale nie tylko.",Joined August 2021,567
CocoStudio4,China Media Group (CMG),Central Publicity Department,la Francophonie,French,CocoStudio4,"Journaliste chinoise, passionnée par la vie verte, la musique, la danse et la beauté de la vie. Je vous fais part ici des dernières nouveautés de Chine ！",Joined January 2020,982
consulat_de,Ministry of Foreign Affairs,Ministry of Foreign Affairs,France,French,consulat_de,Compte officiel du Consulat général de Chine à Strasbourg,Joined February 2020,2457
ConsulChinaRJ,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Brazil,Portuguese,ConsulChinaRJ,Conta oficial do Consulado-Geral da República Popular da China no Rio de Janeiro.,Joined December 2019,2474
criarabic,China Media Group (CMG),Central Publicity Department,MENA,Arabic,criarabic,القسم العربي بإذاعة الصين الدولية,Joined April 2013,22200
CRIbrk,China Media Group (CMG),Central Publicity Department,Anglosphere,English,CRIbrk,"China Radio International , (CRI) is the only overseas broadcaster in the People's Republic of China. Know China, instead of No China!",Joined April 2009,437
CriFrancais,China Media Group (CMG),Central Publicity Department,la Francophonie,French,CriFrancais,"Radio Chine Internationale parle de tout ce qui se rapporte à la Chine : politique, économie, culture, tourisme et société.",Joined January 2016,72900
CRIGerman1,China Media Group (CMG),Central Publicity Department,Germany,German,CRIGerman1,"Willkommen bei CRI German, dem offiziellen Account von der Deutschen Redaktion von Radio China International (CRI)!",Joined February 2021,54
crigreek,China Media Group (CMG),Central Publicity Department,Greece,Greek,crigreek,Η πύλη σας για την Κίνα και τον κόσμο στα Ελληνικά.,Joined February 2011,224
CRIHausaRadio,China Media Group (CMG),Central Publicity Department,Nigeria,Hausa,CRIHausaRadio,Sashen #Hausa na Gidan Rediyon Kasar Sin http://hausa.cri.cn,Joined January 2017,1275
CRIjpn,China Media Group (CMG),Central Publicity Department,Japan,Japanese,CRIjpn,"中国国際放送局（CRI）日本語放送は、中国で最初の海外放送局です。ニュースや観光など、中国の最新情報はここでチェック！ 公式アプリ「KANKAN」も配信中！
公式サイト：http://japanese.cri.cn
Facebook：http://facebook.com/japanese.cri
YouTubeアカウント：「CRI日本語」",Joined February 2015,23300
CSCECNEWS,China State Construction Engineering (CSCEC),State Council,Anglosphere,English,CSCECNEWS,"The official Twitter handle of China State Construction Engineering Corporation (CSCEC).
CSCEC works to expand a happy living environment.",Joined December 2019,128900
Danni_Zhu131,China Media Group (CMG),Central Publicity Department,Anglosphere,English,Danni_Zhu131,"Video Journalist. Fan of palm trees, cats, and the ocean.",Joined October 2010,21
DingHeng6,China Media Group (CMG),Central Publicity Department,Anglosphere,English,DingHeng6,Beijing-based radio host and columnist. Contact: dinghengcri@foxmail.com,Joined October 2019,67
DIOC_MFA_China,Department of International Organizations and Conferences (DIOC),Ministry of Foreign Affairs,China,Chinese,DIOC_MFA_China,"The official twitter account of the Department of International Organizations and Conferences, MFA, China",Joined May 2021,707
discoverbinhai,Department of Culture and Tourism of Tianjin Binhai District,People's Government of Tianjin Binhai New Area,Anglosphere,English,discoverbinhai,"Located in the eastern coastal area of North China's Tianjin Municipality, the Binhai New Area is a city full of vigor and vitality.",Joined November 2021,5112
DiscoverGuangxi,Department of Culture and Tourism of Guangxi Zhuang Autonomous Region,People's Government of Guangxi Zhuang Autonomous Region,Anglosphere,English,DiscoverGuangxi,"Discover the authentic Guangxi, China that only locals know.
FB：http://facebook.com/DiscoverGuangxi
Ins：http://instagram.com/discover_guang…",Joined March 2020,10700
DiscoverJilin,Department of Culture and Tourism of Jilin Province,Jilin Provincial People's Government,Anglosphere,English,DiscoverJilin,"Official Tourism Account of Jilin

Brought to you by the Jilin Province Department of Culture and Tourism",Joined December 2021,3627
DiscoverNanjing,Department of Culture and Tourism of Nanjing City,Nanjing Municipal People's Government,Anglosphere,English,DiscoverNanjing,Nanjing is the capital of Jiangsu province. It is an economically developed city with a rich historical and cultural heritage. Let's Discover Nanjing!,Joined August 2014,133100
discoverzj,Department of Culture and Tourism of Zhejiang Province,People's Government of Zhejiang Province,Anglosphere,English,discoverzj,Welcome to Discover Zhejiang! We're here to help you discover the magic of this amazing province. We're gonna love having you around.,Joined June 2021,80000
Dongning,China Media Group (CMG),Central Publicity Department,Anglosphere,English,Dongning,NEWS ANCHOR，CGTN,Joined May 2009,336
dragontv,Shanghai Media Group (SMG),Shanghai Municipal Committee,Shanghai,Chinese,dragontv,是一个覆盖全国、辐射海外、充满青春活力和国际视野的开放式卫视平台。,Joined April 2009,189
DrZhaoyongchen,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Grenada,English,DrZhaoyongchen,"Ambassador, Prof. Dr. of Law.",Joined July 2019,4458
dupingCHN,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Anglosphere,English,dupingCHN,"counsellor(参赞), the Information Department,
Ministry of Foreign  Affairs, 
China@MFA_China 
Rts≠endorsement",Joined February 2017,2376
DXinjiang,"Beijing Jiandanshiji Culture Media Co., Ltd",unknown,Xinjiang,English,DXinjiang,Discover the real and fantastic Xinjiang here!,Joined April 2020,52600
Echinanews,China News Service (CNS),United Front Work Department,China,Chinese,Echinanews,"http://ECNS.cn, the English portal of China News Service, a window into news about China. #ChinaTravel #ChinaStory #ChinaTech #ChinaBiz #Panda #AmazingChina",Joined July 2011,645100
EmbaixadaChina,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Brazil,Portuguese,EmbaixadaChina,Trazendo a China para perto de você! Conta oficial da Embaixada da República Popular da China na República Federativa do Brasil. ,Joined May 2018,119900
EmbajadaChinaEc,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Ecuador,Spanish,EmbajadaChinaEc,Bienvenidos a la cuenta oficial de la Embajada de la República Popular China en Ecuador,Joined December 2019,8261
EmbajadaChinaSV,Ministry of Foreign Affairs,Ministry of Foreign Affairs,El Salvador,Spanish,EmbajadaChinaSV,Perfil Oficial de la Embajada de la República Popular China en El Salvador,Joined February 2019,25400
embajadorcn_uy,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Uruguay,Spanish,embajadorcn_uy,Embajador de China en Uruguay,Joined June 2021,4711
embassy_chinese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Tonga,English,embassy_chinese,Chinese Embassy in Tonga,Joined November 2019,2533
EmbChinaCuba,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Cuba,Spanish,EmbChinaCuba,Embajada de la República Popular China en Cuba,Joined March 2020,4947
EmbChinaGE,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Equatorial Guinea,Spanish,EmbChinaGE,"欢迎访问中国驻赤道几内亚大使馆官方账号！
¡Bienvenido a la Embajada de la República Popular China en Guinea Ecuatorial!",Joined March 2020,4656
EmbChinaMex,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Mexico,Spanish,EmbChinaMex,"Bienvenidos a la cuenta oficial de la Embajada de China en México/FB:EmbChinaMex 
Twitter del Embajador: 
@EmbZhangRun
 /tiktok:zhang_run/Facebook:Zhang Run 张润",Joined March 2021,62000
EmbChinaPa,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Panama,Spanish,EmbChinaPa,"Bienvenidos a la cuenta oficial de la Embajada de la República Popular China en la República de Panamá
欢迎来到中华人民共和国驻巴拿马共和国大使馆推特官方账号",Joined November 2021,2822
EmbChinaVen,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Venezuela,Spanish,EmbChinaVen,Cuenta Oficial del Embajador de la República Popular China en la República Bolivariana de Venezuela. Cordiales Saludos.,Joined May 2021,1028
EmbChina_RS,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Serbia,Serbian,EmbChina_RS,Embassy of the People's Republic of China in the Republic of Serbia,Joined May 2020,4597
EmbQiMei,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Austria,German,EmbQiMei,Botschafterin der Volksrepublik China in der Republik Österreich,Joined March 2022,2122
EmbZhangRun,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Mexico,Spanish,EmbZhangRun,"中华人民共和国驻墨西哥合众国大使
Chinese Ambassador to Mexico
Embajador de China en México 
@EmbChinaMex
, 
Ex-embajador de China en la República Dominicana",Joined December 2018,27100
FangYi85320692,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Uganda,English,FangYi85320692,An advocate of China-Uganda relations,Joined January 2018,1069
fayhaaChina,China Media Group (CMG),Central Publicity Department,Egypt,Arabic,fayhaaChina,إعلامية صينية Chinese journalist,Joined January 2020,6556
feelchina2021,China Daily Press,Central Publicity Department,Anglosphere,English,feelchina2021,"In China, each of its 1.4 billion people is unique and writing their own life story. Follow us to see the extraordinary stories of ordinary Chinese people.",Joined July 2020,74
flyoverchina,Xinhua News Agency,State Council,Anglosphere,English,flyoverchina,"Aerial photos & videos by 
@XHNews
 Facebook: http://fb.com/FlyOverChina",Joined March 2019,672100
FukLyuGuijun,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Japan,Japanese,FukLyuGuijun,中華人民共和国駐福岡総領事律桂軍の公式Twitterです。「山川異域、風月同天」の心をもって、中国と日本の最新情報についてシェアし、交流と協力を進めてまいります。,Joined October 2021,2841
FuzhouCity,Fuzhou Culture and Tourism Bureau,Fuzhou Municipal People's Government,Fujian,Chinese,FuzhouCity,"Explore Fuzhou, eastern gem and city of blessings!",Joined December 2015,69200
gabriekestabem,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Brazil,Portuguese,gabriekestabem,"中国驻圣保罗总领馆副领事，热爱自然、文化和生命
Vice cônsul do Consulado da China em São Paulo, ama natureza, cultura e vida
Views my own. RT≠endorsement.",Joined November 2013,1742
gabrielyin,China Media Group (CMG),Central Publicity Department,China,Chinese,gabrielyin,chinese tv reporter in Sao Paulo. insta: idonthavetowork,Joined May 2011,20
GlobalTimesBiz,People's Daily Press,Central Committee of the Chinese Communist Party,Anglosphere,English,GlobalTimesBiz,"The Business Source is a valuable business news and commentary platform at The Global Times, under the People's Daily. Web: http://globaltimes.cn/source/",Joined February 2016,12800
