Unnamed: 0,username,content,date,likes,retweets,replies,language,topic
17,AlexYsalex17,"Wow...I can login to my account again...I thought I have lost my account forever because of my heavy criticism to the West since the outbreak of Russia-Ukraine conflict...thank you 
@elonmusk
 (I have tried to contact 'Twitter' many times last year for this problem, no response)",Aug 10,31,4,9,en,0
18,AlexYsalex17,Would you guys ban Zorro?,"Mar 29, 2022",36,4,10,en,0
19,AlexYsalex17,"When I talk to Israeli people about current situation in #Gaza, I find a key difference between us: They consider revenge and eliminating #Hamas are more important than avoiding civilian casualties, but we think the opposite... So what do you guys think?",Nov 2,16,0,5,en,0
20,AlexYsalex17,"and with the help of Weibo, they eventually retrieve the password of the account and started to release videos since yesterday… Now the mainstream public opinion in China is showing overwhelming support to Palestine and condemning #IsraelAttack against #Palestine",Oct 19,17,4,2,en,0
21,AlexYsalex17,"In China, Israeli Embassy has paid a lot of efforts to increase their media presence by release videos and photos about Hamas attacks on Chinese social media, while the Palestinian Embassy just realized they have an account of Sina Weibo (China’s X-like social media) yesterday...",Oct 19,18,5,2,en,0
22,AlexYsalex17,"Our reporter 
@AlexYsalex17
 takes a shot of 
@NicolasMaduro
 in #Venezuela Embassy in Beijing today, who showcases his #Huawei foldable phone, drawing an applause.",Sep 13,18,3,2,en,0
23,AlexYsalex17,"Thank you very much for answering the question from the Global Times President 
@NicolasMaduro
,  and I hope our news paper to be a part of your good memory in China.",Sep 14,33,1,9,en,0
24,AlexYsalex17,"#FukushimaWaterRelease 
The Kishida administration of Japan only obeys to US order, so it can ignore the opposition from its own people and other neighboring countries, but why the US tolerates this extremely irresponsible and ridiculous decision?",Aug 24,55,7,4,en,0
25,AlexYsalex17,"Congratulations to India, one more country lands on the moon! #IndiaOnTheMoon #MoonLanding",Aug 23,19,1,5,en,0
26,AlexYsalex17,"This South Korean cartoonist has thorough and accurate understanding over the current relations among the US, Japan and South Korea, as well as the latest deal signed by 
@JoeBiden
 ,
@kishida230
 and
@President_KR
 in Camp David earlier this month",Aug 22,19,2,2,en,0
27,AlexYsalex17,"We do care about Hawaii Caraline, and we are looking for survivors who want to speak out... but it seems like you guys care more about defending poor response of US government and military that expose their incompetence in handling the horrific #HawaiiWildfires",Aug 22,22,2,1,en,0
28,AlexYsalex17,"Caroline...maybe you are the one who didn't read the article, as the author of the article you shared on your first tweet, I'm telling you that we are just telling the truth that you guys in America pay more attention to Ukraine or Trump when many people in Hawaii get burned",Aug 22,17,1,0,en,0
29,AlexYsalex17,"Truly embarrassing for 
@ChingteLai
 , as even those former senior US officials who previously showed high-profile encouragement to #Taiwan separatists while in office, such as 
@SpeakerPelosi
  and 
@mikepompeo
 , did not show up to support Lai this time.",Aug 18,19,2,1,en,0
30,AlexYsalex17,"Chinese are paying attention to #HawaiiWildfire, as the hashtags on Sina Weibo about #hawaiifires  have received more than 71.52 million views yesterday... Some said the poor response of the US 'unlike a developed country'",Aug 16,18,1,4,en,0
31,AlexYsalex17,"There is a saying at the begining of this year:
If Russia cannot defeat Ukraine in 2022, it means Russia is not as powerful as expected...
If West cannot help Ukraine to defeat Russia in 2023, it means West is not as powerful as expected...

Pyongyang is paying attention...",Aug 10,14,0,9,en,0
32,AlexYsalex17,"A North Korea's latest military meeting analyzed the military moves of its adversaries, and decided on the plans for ""offensive military countermeasures to thoroughly deter them."" 
This could probably mean that, Pyongyang is paying close attention to what is happening in Ukraine",Aug 10,11,1,0,en,0
33,AlexYsalex17,"I haven't checked all of these data, but I'm pretty sure that the last data has underestimated our Indian friends",Aug 10,12,1,1,en,0
34,AlexYsalex17,Is this a prediction about #BRICS?,Aug 10,11,0,1,en,1
35,AlexYsalex17,"This is my trip to Guizhou for the #Cunchao in Rongjiang County, or the Village Super League in June...through this excited video about football and the villagers who become ""super stars"" among locals you can see what is really happening in China's rural areas",Aug 10,28,1,2,en,0
36,AlexYsalex17,"Wow...I can login to my account again...I thought I have lost my account forever because of my heavy criticism to the West since the outbreak of Russia-Ukraine conflict...thank you 
@elonmusk
 (I have tried to contact 'Twitter' many times last year for this problem, no response)",Aug 10,31,4,9,en,0
37,AlexYsalex17,Would you guys ban Zorro?,"Mar 29, 2022",36,4,10,en,0
38,ACSF1919,宇宙级别的浪漫！透过空间站舷窗，#神舟十七号 航天员乘组拍下地球家园美景，好治愈的“地球”蓝！#中国,50m,0,0,0,zh,0
39,ACSF1919,大自然的鬼斧神工！#钱塘江 大潮退去，露出如诗如画的大地之树，“枝叶”分明栩栩如生。可谓壮观！#中国,4h,3,0,0,zh,0
40,ACSF1919,当地时间11月16日上午，国家主席习近平向在 #旧金山 举行的 #亚太经合 组织工商领导人峰会发表题为《同心协力　共迎挑战　谱写亚太合作新篇章》的书面演讲。#中国,22h,1,0,0,zh,1
41,ACSF1919,下雪了，#东北 限定“神兽”又出没了！傻狍子愚蠢却实在美丽~#中国 #自然,Nov 16,4,1,0,zh,0
42,ACSF1919,“#中国 没有蜘蛛侠，只有 #消防员。”,Nov 16,2,0,0,zh,0
43,ACSF1919,雪地牧羊的气势！#内蒙古 牧民用无人机记录下震撼画面，雪地倒影如同一副会动的”草原画卷“！#中国 #自然,Nov 16,3,1,0,zh,0
44,ACSF1919,11月15日晚，#广西 南宁首届 #学青会 闭幕式上，主火炬缓缓熄灭。青春不散场，下届再相会！#中国,Nov 15,1,0,0,zh,0
45,ACSF1919,"“顶级”的细心和耐心！
大学生耗时86小时，独立完成 #非遗 手工刻纸 #清明上河图 惊艳",Nov 15,1,0,0,zh,0
46,ACSF1919,当地时间11月15日，国家主席习近平在 #美国 旧金山斐洛里庄园同美国总统拜登举行 #中美 元首会晤。,Nov 15,0,0,0,zh,0
47,ACSF1919,整活儿还得看00后！高校运动会开幕式，同学生动演绎 #中国 “四大名著”，气氛拉满！,Nov 15,0,0,0,zh,0
48,ACSF1919,1.65万名“小青芒”，再见啦！#学青会 上，你们忙碌的身影格外亮眼，热情洋溢服务青春盛会。感谢有你，最酷的“小青芒”！#中国 #广西,Nov 15,3,0,0,zh,0
49,ACSF1919,可爱又暖心~#江苏 淮安肥猫岛上，144只流浪小#猫 有了自己的名字和温暖的家，原来真的有人会为 #流浪猫 盖一座岛！#中国 #China,Nov 15,0,0,0,zh,0
50,ACSF1919,当地时间11月14日中午，在习近平主席专机抵达 #美国 旧金山之前，当地机场至酒店沿途随处可见由 #华人 华侨组成的欢迎人群。人们挥舞着中美两国国旗，准备欢迎习近平主席的到访。,Nov 14,5,0,0,zh,0
51,ACSF1919,"这是...#松花江 下面开暖气了？？
#东北 松花江云雾涌动，好一幕“不冻江”冬日晨光！#中国",Nov 14,2,0,1,zh,0
52,ACSF1919,纯享版 #熊猫 吃播！“南瓜公主”小馨边赏雪边干饭，下雪天吃得更香噢~#中国 #自然,Nov 14,1,0,1,zh,0
53,ACSF1919,惊“焰”！把漫天 #烟花 当背景的足球场！长沙 #浏阳 河畔，焰火绚烂升空，足球场内年轻人们竞技正酣，壮观又浪漫。#中国,Nov 13,5,1,1,zh,0
54,ACSF1919,可可爱爱的“蓝朋友”！#吉林 延边州森林消防的 #消防 员们，在训练之余趴在雪地里模拟火箭发射升空。网友：点火的那一脚很有灵魂！#中国,Nov 13,5,0,1,zh,0
55,ACSF1919,"一键查收“毛孩子”们的治愈笑容！
冬日来临，寒风瑟瑟，#南京 市红山森林动物园“毛孩子”们带给人温暖的力量~#中国 #自然",Nov 13,3,0,1,zh,0
56,ACSF1919,#中国 温暖！近日，执行我国第40次 #南极 考察任务的“雪龙2”号刚穿越赤道，就发现一艘载有4名巴布亚新几内亚渔民的渔船求救，经过33小时救援，考察队成功将求救船只和人员转移至“雪龙2”号，运送他们回家。,Nov 13,6,2,1,zh,1
57,afghanchina,"درنو دوستانو، سلام جوړ په خېرتاسو څنګه ياست؟  
زه او زما همکاران اوس په کار بوخت يو.
د چين سږنۍ دوه ملي غونډې به نن په رسمي توګه پيل شي. د دغو دوو غونډو په تړاو له بشپړو راپورونو مخکې، زه له ياسمين او زرېنې سره تاسو ټولو ته نيکې هيلې وړاندې کوو. هيله ده چې تاسو ټول ښه ورځ ولرئ!","Mar 3, 2021",31,1,4,ps,0
58,afghanchina,"ګرانو دوستانو، سهار مو په خير!
په ۲۰۲۲م کال کې د بېجينګ پر لوړو غرو د اولمپيک ژمنيو لوبو د سکې وهلو ځينې سيالۍ د دې حوزې په غرنۍ سيمه کې تر سره شي.  
کابو يو کاله وروسته به دغه لوبې شروع شي، نو که تاسو د دغو لوبو په موده کې چين ته سفر وکړئ، له کومو منظرو څخه به خوند واخلئ؟","Feb 21, 2021",16,2,3,ps,0
59,afghanchina,"محترمو دوستانو! جمعه مو په خير.....
ټينګه اراده مو د بري تر پولې رسوي، که خپلې چارې په نيمه لاره نيمګړې پرېږدو، نو هيڅ لاسته راوړنه به ونه لرو.
ستاسو د ټولو د برياليتوب په هيله!","Feb 18, 2021",30,1,0,ps,0
60,afghanchina,"درنو دوستانو، سلامونه او نيکې هيلې مې ومنئ!
نن ورځ زما لپاره يوه بوخته ورځ ده. اوس په سټوډيو کې د ويډيويي راپور په جوړولو بوختې یو.
 تاسې څنګه ياست؟ 
هيله ده، چې تاسو ټول خوشحاله او خوندي واوسئ!","Feb 15, 2021",24,1,1,ps,0
61,afghanchina,خوش طبعي او ښه ژوند,"Feb 14, 2021",21,0,1,fa,0
62,afghanchina,"درنو دوستانو، د غوايي کال مو مبارک شه!牛年大吉
نن د چين پسرلنی جشن دی! زه په فېسبوکپاڼې له تاسو سره خپله خوشحالي شريکوم. تاسو ته به خپل څو عکسونه ډالۍ کړم، هيله ده، چې زما نیکې هيلې ومنئ.","Feb 11, 2021",27,1,5,ps,0
63,afghanchina,"درنو دوستانو! سهار مو په خير................... 
نوې ورځ پيل شوې، د کار له پيل کېدو مخکې مې یوه پياله کافي وڅښله.
تاسو څنګه یاست؟
کار ته تللي یئ؟ 
ښه ورځ ولرئ!","Feb 8, 2021",30,2,1,ps,0
64,afghanchina,"درنو دوستانو، سلامونه! جوړ په خير.....
په دې اوونۍ کې به د چين پسرلني جشن پيل شي، اوس دلته پر هر لوري په زړه پورې، سمسوره او ښکلې فضا احساسيږي. 
هيله ده چې تاسو ټول هم خوشحال ژوند ولرئ!","Feb 8, 2021",32,3,4,ps,0
65,afghanchina,"په ټولنيزو رسنيو کې تېره ورځ دغه خبر ګرم تاوېده، چې په افغانستان کې د زعفرانو سږني حاصلات نږدې ۲۱ ټنو ته رسېدلي دي.
په هرات، بلخ، فارياب، کندز، فراه او دايکندي کې سږ کال د زعفرانو ډېر او ښه حاصلات شوي دي. 
د ۲۰۲۱م کال په سر کې د خوند يا ذايقې نړيوال انسټېټيوټ چې ...","Feb 6, 2021",23,0,3,ps,0
66,afghanchina,"درنو دوستانو، جمعه مو په خېر............
په بېجينګ کې نن اسمان شين دی او هوا لږه څه ګرمه شوې ده. 
هيله ده، چې تاسو ټول ښه ورځ ولرئ!","Feb 4, 2021",41,0,2,ps,0
67,afghanchina,"پسرلی د کال ښکلی موسم دی 
د چين د کرهنيزې جنترۍ له مخې، نن ورځ د (لي چون) 立春 ورځ ده، يعنې د پسرلي د پيل لومړۍ ورځ ده او تر دې وروسته به هوا ورځ تر بلې ګرمېږي. 
زه پوهېږم، چې د پښتو په شعر او شاعرۍ کې د پسرلي په اړه ډېر شعرونه ويل شوي

 د (لي چون) 立春 ورځ مو مبارک شه!","Feb 3, 2021",16,0,1,ps,0
68,afghanchina,"ما او ياسمين د بېجينګ په غرنۍ سيمه کې ښه وخت تېر کړ. 
ژمی خپله ځانګړې ښکلا لري او هر وخت په طبيعت کې ښکلې منظرې پيدا کېږي. خوشحاله اوسئ!","Feb 3, 2021",34,0,7,ps,0
69,afghanchina,"ګرانو دوستانو،  سلامونه! جوړ په خير ......
((تانګ هو لو))糖葫芦 په ژمي کې د چين په شمالي برخه کې يو ډول دوديز خواړه دي چې ډول ډول تازه مېوې په باڼسي لرګيو پېيل کېږي او بيا د بورې شربت پرې اچول کېږي. وروسته له دې چې شربت وچ شي، لکه پر يادو مېوو بهر چې د کنګل پوښ جوړ شوی وي.","Feb 1, 2021",24,0,3,ps,0
70,afghanchina,"پرون مې ډيرې ښې او بوختې شېبې درلودې، په خپلو لاسونو مې د واورې خواږه جوړ او پاخه کړل. هو رښتيا جلغوزي مې هم پاخه کړل، لا خوندور شول.
له تاسو ټولو څخه مننه کوم چې د جلغوزيو د ډاډه کولو طريقه مو راسره شريکه کړه. هيله ده تاسو هم ټول له خوشاليو ډکه او ښه ورځ ولرئ!","Jan 31, 2021",53,1,5,ps,0
71,afghanchina,"زما افغان دوست اومه جلغوزي راته ډالۍ کړل.
دا مې لومړی ځل دی، چې د افغانستان خام جلغوزي مې وخوړل، ډېر ښه خوند لري.
د افغانستان جلغوزي په چين کې ښه بازار لري او چينايان یې هم ډېر خوښوي.","Jan 29, 2021",22,1,2,ps,0
72,afghanchina,"ګرانو دوستانو، سهار مو په خير! 
که خپلو هڅو ته دوام ورکړو، نو خپلو هيلو ته به ورسيږو.
زه نن ورځ ډېر کارونه لرم او بوخته يم، تاسې څنګه ياست؟  ايا تاسو هم پر کارونو بوخت ياست؟","Jan 27, 2021",48,0,6,ps,0
73,afghanchina,"نن ورځ مې په بېجينګ کې د افغانستان له لوی سفير جاويد احمد قايم سره مرکه وکړه. نوموړي د چين د غوايي کال په مناسبت په چيني خطاطۍ چينايانو ته د مبارکۍ پيغام وړاندې کړ. 
په راتلونکې مياشت کې به د چين پسرلنی جشن پيل شي، هيله ده چې ټول افغان دوستان خوشحاله او نيکمرغه  ژوند ولري!","Jan 26, 2021",11,0,2,ps,0
74,afghanchina,"ګرانو دوستانو، سهار مو په خير! 
نوې ورځ پېل شوې، تکړه شئ، هڅې او زیار وګالئ!","Jan 24, 2021",76,1,11,fa,0
75,afghanchina,"کوترې ته په چينايي ژبه کې (ګه ځي) ويل کېږي يعنې(鸽子).
کوتره د سولې نښه ده، د زياتو هېوادونو په مشهورو ميدانونو او ډېرو مهمو نړيوالو مراسمو کې کوترې ليدل کېږي، چې له انسانانو سره نږدې نږدې ګرځي او ازادانه تګ راتګ کوي.
په نړۍ کې تلپاتې سوله د بشر ګډه هيله ده!","Jan 23, 2021",50,0,1,ps,0
76,afghanchina,"نن مې د زوکړې ورځ ده
د کورنيو، دوستانو او همکارانو د مبارکۍ پيغامونه مې ترلاسه کړل.
 مينه او خوشحالي زما د ژوند رڼا ده.
 له ټولو څخه مننه کوم! 
هيله ده چې هر کس خوندي واوسي.","Jan 22, 2021",324,5,43,ps,0
77,afghanchina,"درنو دوستانو
نن ورځ غواړم، خپله کېسه درسره شريکه کړم
ما ته د افغانستان د مشرانو جرګې مشرتابه په ۲۰۱۶م کال کې ستاینلیک راکړ او بېجينګ ته يې راولیږه.
دغه ستاینلیک وياړ را وبښه او انرژي او خوځنده ځواک يې راکړ، څو پښتو ژبه لا ښه زده کړم او د افغانستان د کولتور د خپرولو او د چين...","Jan 17, 2021",59,1,8,ps,0
78,afghanchina,"د پښتنو افغانانو ښکلې سترګې چې په نړۍ کې یې ساری نشته.
پښتانه ښکلي خلک دي","Jan 17, 2021",29,1,1,ps,0
79,afghanchina,"سهار مو په خير! 
دغه عکسونه مې د يخ لوبې پر مهال اخيستي او تاسو ته يې ډالۍ کوم. ښې شېبې مې درلودې، هيله ده چې تاسو هم ښه وخت او ښې شېبې ولرئ!","Jan 16, 2021",62,0,4,ps,0
80,Amazing_Yunnan,"The London semi-final of the second Yunnan International Innovation and Entrepreneurship Competition will take place on November 18th at Imperial College London. The judging panel is comprised of experts from the fields of global venture capital, green and sustainable development",19h,1,0,0,en,0
81,Amazing_Yunnan,"The 2023 CITM covers 90,000 square meters, where six professional exhibition areas are set up. Around 5,000 standard booths are designed in nine pavilions for international tours,travel business formats, tourist destinations, cultural creativity, and more. #NihaoChina #CITM2023",23h,6,0,0,en,0
82,Amazing_Yunnan,The 2023 China International #Travel Mart (CITM) was unveiled at central #Yunnan’s #Kunming Dianchi International Convention and Exhibition Center on November 17 morning. #NihaoChina #CITM2023,23h,4,0,0,en,0
83,Amazing_Yunnan,"#NihaoChina! Meet Shangri-La! The Pudacuo national park in NW Yunnan’s Diqing, is presenting its natural beauty at the beginning of winter. The colors of red, yellow, blue and green have appeared on the mountains, forests, lakes and meadows, inviting in global tourists. #CITM2023",Nov 16,5,0,0,en,0
84,Amazing_Yunnan,"Steamed-pot chicken, roasted duck, cross-bridge rice noodles and Modern Baba…, which is favored by the #FlyingTigers? Delicious #Yunnanfood is a memoir for the American veterans 80 years ago. #APEC2023",Nov 15,1,0,0,en,0
85,Amazing_Yunnan,"From 1941 when Chennault was invited to #Yunnan to form the AVG to the recent visit by the Flying Tigers veterans. The healthy and stable development of China-US relations in the new era requires the participation and support of ""a new generation of #FlyingTigers"". #APEC2023",Nov 15,2,0,0,en,0
86,Amazing_Yunnan,"Seeing her father’s traces and stories in the museum, Jane Bonner Scott was deeply touched, and she also wished the #FlyingTigers spirit to be passed down to the future generation.",Nov 15,3,0,0,en,0
87,Amazing_Yunnan,"When the #FlyingTigers were fighting for China, local people welcomed them and had a wonderful time together.",Nov 15,4,1,0,en,0
88,Amazing_Yunnan,"Stephen Bonner, a #veteran of the Flying Tigers left uniquely beautiful memories in #Kunming. His daughter Jane Bonner Scott visited #Kunming recently. #FlyingTigers",Nov 15,3,1,0,en,0
89,Amazing_Yunnan,"Come to #Nujiang to see the magnificent mountains and rivers in NW #Yunnan’s Nujiang prefecture!
The surging river is rushing, roaring to express the magnificent beauty in #Dulongjiang River and the #Gaoligong Mountain. #NaturalBeauty",Nov 9,5,0,0,en,0
90,Amazing_Yunnan,"Mysterious #earthforest was born by nature in #Yuanmou county, central Yunnan’s #Chuxiong prefecture, where the Yuanmou ancient people were lived 170 million years ago. Under the effect of water erosion, the Yuanmou earth forest is formed into different shapes. #NatureWonders",Nov 9,3,0,0,en,0
91,Amazing_Yunnan,"Known as Zaojuntang, the #candy is a traditional snack among #Yunnan people. It also carries the sweetness of many people's childhood memories. Geng Yanchun, the inheritor of candy-making skills in #Jinning county, Yunnan’s #Kunming, shows the process. #YunnanLifestyle",Nov 9,3,0,0,en,0
92,Amazing_Yunnan,#Butterflyies and #bees were seen in the pink #flowers. Silk floss trees are blooming recently in NW #Yunnan‘s Lushui city. The city is full of pink #romance. #naturephotography,Nov 9,4,0,1,en,0
93,Amazing_Yunnan,"#Mile is a city that is well-known for #redwine in central #Yunnan’s #Honghe Prefecture, which is the largest wine producer in #Yunnan. Thanks to the pleasant climate and fertile soil, the #grapes show the characteristics of early maturity and high quality.",Nov 9,2,0,0,en,0
94,Amazing_Yunnan,The #DianchiLake today is extremely beautiful with the blue sky and white clouds. The black-headed #seagulls are back to #Kunming for wintering these days. #AmazingChina,Nov 9,6,0,1,en,0
95,Amazing_Yunnan,"Haha, have you ever seen the huge and beautiful #fruit resembling a colorful #pineapple? It’s called Kadsura coccinea which is a delicious and sweet fruit in Jinping County, south Yunnan’s Honghe prefecture.  #ExoticFruit",Nov 8,1,0,0,en,0
96,Amazing_Yunnan,"The visit to #Yunnan, is inspired by Chinese President Xi Jinping, who replied to a letter from Greene, Moyer and McMullen. He hopes that the spirit of the #FlyingTigers will be carried on from generation to generation between the people of China and the US.",Nov 7,1,1,0,en,0
97,Amazing_Yunnan,"Harry Moyer has just celebrated his 103rd birthday in China, and Melvin McMullen is 98 years old. The #FlyingTigers veterans and their families returned to #Yunnan for the purpose of passing down the spirit of the Flying Tigers and carrying forward the Sino-US folk #friendship.",Nov 7,1,0,0,en,0
98,Amazing_Yunnan,A special American delegation visited #Yunnan province from November 2 to 4.  Exhibits at the #Kunming #FlyingTigers Museum brought the Americans back to the eventful days.,Nov 7,2,0,0,en,0
99,Amazing_Yunnan,"The #FlyingTigers, or the #US 14th Air Force in China, have a special historical bond with #Yunnan. Born in the province, the Flying Tigers joined the Chinese people in the worldwide anti-fascist war some 80 years ago, shedding their blood and sacrificing their lives.",Nov 6,2,1,0,en,0
100,Amazing_Yunnan,"A special American delegation visited #Yunnan from November 2 to 4. The friendly delegation consists of the #FlyingTigers veterans of Harry Moyer and Melvin McMullen, as well as Jeffrey Greene, chairman of the Sino-American Aviation Heritage Foundation, and descendants of them.",Nov 3,4,0,0,en,0
101,Amazing_Yunnan,The #sunrise of the #ErhaiLake is worth seeing when in #Dali.,Nov 1,4,0,0,en,0
102,AmbassadeChine,"Le 14 novembre 2023, le deuxième Forum Chine-France de Paris organisé par l’Ambassade de Chine en France s’est tenu au Musée Guimet. Voici l’allocution d’ouverture de L’Ambassadeur Lu Shaye :
http://fr.china-embassy.gov.cn/fra/zfzj/202311/t20231116_11181040.htm…",Nov 15,31,13,4,fr,1
103,AmbassadeChine,"Le président chinois Xi rencontre le PDG d'Apple Tim Cook, le PDG de Teska Elon Musk et des amis américains à l'APEC",9h,43,17,4,fr,1
104,AmbassadeChine,"Autumn scenery in Beijing, China.
满城尽带黄金甲•北京的秋",20h,157,35,6,zh,0
105,AmbassadeChine,La Chine est prête à inviter 50 000 jeunes Américains en Chine pour des échanges et des études au cours des cinq prochaines années.,11h,21,1,0,fr,1
106,AmbassadeChine,"Opéra du Sichuan à Chengdu, Chine",11h,37,7,1,fr,1
107,AmbassadeChine,"Le président Biden : Comme je l'ai dit depuis mon entrée en fonction en tant que président des États-Unis, et comme l'ont dit tous les présidents des États-Unis, nous sommes fermement attachés à la politique d'une seule Chine et nous n'en changerons pas.",12h,5,0,0,fr,1
108,AmbassadeChine,Le président Xi Jinping a rencontré le sultan  de Brunei Hassanal Bolkiah. La Chine et le Brunei sont un exemple éclatant de pays de taille différente qui se traitent sur un pied d'égalité et recherchent des avantages mutuels.,12h,56,9,2,fr,1
109,AmbassadeChine,Le président Xi Jinping a rencontré le Premier ministre japonais Fumio Kishida. Les deux dirigeants ont réitéré leur engagement envers les principes et le consensus des quatre documents politiques entre la Chine et le Japon.,12h,9,0,1,fr,1
110,AmbassadeChine,La marine chinoise organise pour la première fois cette année une sélection d'élèves officiers féminins de l'aéronautique navale.,Nov 16,31,6,3,fr,1
111,AmbassadeChine,Le président Xi Jinping a rencontré le président mexicain Andres Manuel Lopez Obrador. La Chine attache une grande importance à ses liens avec le Mexique et est prête à collaborer avec ce pays pour porter les relations sino-mexicaines à un niveau plus élevé.,Nov 16,46,15,3,fr,1
112,AmbassadeChine,Le président Xi Jinping a rencontré la présidente péruvienne Dina Boluarte. Cette année coïncide avec le 10e anniversaire du partenariat stratégique global Chine-Pérou.,Nov 16,25,7,2,fr,1
113,AmbassadeChine,Le président Xi Jinping a rencontré le PM fidjien Sitiveni Rabuka. Le président Xi a salué les Fidji comme un bon ami et partenaire et a exprimé la volonté de la Chine de faire progresser le partenariat avec les Fidji.,Nov 16,12,4,2,fr,1
114,AmbassadeChine,Le président Xi Jinping a participé au dialogue informel des dirigeants économiques de l'APEC avec des invités.,Nov 16,14,4,0,fr,1
115,AmbassadeChine,"Jiuzhaigou, situé sur l'un des plateaux les plus hauts du monde, est la réserve naturelle la plus reconnue pour la beauté de ses paysages.",Nov 16,9,2,1,fr,1
116,AmbassadeChine,Le sommet de San Francisco devrait constituer un nouveau point de départ pour la stabilisation des relations entre la Chine et les États-Unis.,Nov 16,10,0,2,fr,1
117,AmbassadeChine,"Le président Xi Jinping a souligné que pour deux grands pays comme la Chine et les États-Unis, tourner le dos à l'autre n'est pas une option. Il n'est pas réaliste pour une partie de remodeler l'autre.",Nov 16,29,4,6,fr,1
118,AmbassadeChine,Les conflits et les confrontations ont des conséquences insupportables pour les deux parties.,Nov 16,5,0,0,fr,1
119,AmbassadeChine,"Lors du dîner de bienvenue organisé par les organisations des États-Unis à #SanFrancisco, le président chinois Xi Jinping serre la main d' Elon Musk.
@elonmusk",Nov 16,144,43,5,fr,1
120,AmbassadeChine,"Ambassador Zhang Jun at the media stakeout on the UN Security Council Resolution regarding the Palestinian-Israeli situation. 
@ChinaAmbUN",Nov 15,195,57,18,en,0
